 17/11  -  18:14:53.053 	QUIET
 17/11  -  18:14:56.056 	QUIET
 17/11  -  18:14:59.059 	QUIET
 17/11  -  18:15:02.002 	QUIET
 17/11  -  18:15:05.005 	QUIET
 17/11  -  18:15:08.008 	QUIET
 17/11  -  18:15:11.011 	QUIET
 17/11  -  18:15:14.014 	QUIET
 17/11  -  18:15:17.017 	QUIET
 17/11  -  18:15:20.020 	QUIET
 17/11  -  18:15:23.023 	QUIET
 17/11  -  18:15:26.026 	QUIET
 17/11  -  18:15:29.029 	QUIET
 17/11  -  18:15:32.032 	QUIET
 17/11  -  18:15:35.035 	NORMAL
 17/11  -  18:15:39.039 	QUIET
 17/11  -  18:15:42.042 	QUIET
 17/11  -  18:15:45.045 	QUIET
 17/11  -  18:15:48.048 	QUIET
 17/11  -  18:15:51.051 	QUIET
 17/11  -  18:15:54.054 	QUIET
 17/11  -  18:15:57.057 	ALERT
 17/11  -  18:16:00.000 	NORMAL
 17/11  -  18:16:03.003 	NORMAL
 17/11  -  18:16:06.006 	NORMAL
 17/11  -  18:16:09.009 	NORMAL
 17/11  -  18:16:12.012 	NORMAL
 17/11  -  18:16:16.016 	QUIET
 17/11  -  18:16:19.019 	QUIET
 17/11  -  18:16:22.022 	NORMAL
 17/11  -  18:16:25.025 	NORMAL
 17/11  -  18:16:28.028 	NORMAL
 17/11  -  18:16:31.031 	NORMAL
 17/11  -  18:16:34.034 	QUIET
 17/11  -  18:16:37.037 	QUIET
 17/11  -  18:16:40.040 	QUIET
 17/11  -  18:16:43.043 	QUIET
 17/11  -  18:16:46.046 	QUIET
 17/11  -  18:16:49.049 	ALERT
 17/11  -  18:16:52.052 	ALERT
 17/11  -  18:16:56.056 	ALERT
 17/11  -  18:16:59.059 	NORMAL
 17/11  -  18:17:02.002 	NORMAL
 17/11  -  18:17:05.005 	NORMAL
 17/11  -  18:17:08.008 	NORMAL
 17/11  -  18:17:11.011 	NORMAL
 17/11  -  18:17:14.014 	QUIET
 17/11  -  18:17:17.017 	QUIET
 17/11  -  18:17:20.020 	QUIET
 17/11  -  18:17:23.023 	QUIET
 17/11  -  18:17:26.026 	QUIET
 17/11  -  18:17:29.029 	QUIET
 17/11  -  18:17:32.032 	QUIET
 17/11  -  18:17:35.035 	QUIET
 17/11  -  18:17:38.038 	QUIET
 17/11  -  18:17:41.041 	QUIET
 17/11  -  18:17:45.045 	QUIET
 17/11  -  18:17:48.048 	QUIET
 17/11  -  18:17:51.051 	QUIET
 17/11  -  18:17:54.054 	QUIET
 17/11  -  18:17:57.057 	QUIET
 17/11  -  18:18:00.000 	QUIET
 17/11  -  18:18:03.003 	QUIET
 17/11  -  18:18:06.006 	QUIET
 17/11  -  18:18:09.009 	QUIET
 17/11  -  18:18:12.012 	QUIET
 17/11  -  18:18:15.015 	QUIET
 17/11  -  18:18:18.018 	QUIET
 17/11  -  18:18:21.021 	QUIET
 17/11  -  18:18:24.024 	QUIET
 17/11  -  18:18:28.028 	QUIET
 17/11  -  18:18:31.031 	QUIET
 17/11  -  18:18:34.034 	QUIET
 17/11  -  18:18:37.037 	QUIET
 17/11  -  18:18:40.040 	QUIET
 17/11  -  18:18:43.043 	QUIET
 17/11  -  18:18:46.046 	QUIET
 17/11  -  18:18:49.049 	QUIET
 17/11  -  18:18:52.052 	NORMAL
 17/11  -  18:18:55.055 	ALERT
 17/11  -  18:18:58.058 	ALERT
 17/11  -  18:19:01.001 	NORMAL
 17/11  -  18:19:04.004 	NORMAL
 17/11  -  18:19:07.007 	QUIET
 17/11  -  18:19:10.010 	QUIET
 17/11  -  18:19:13.013 	QUIET
 17/11  -  18:19:16.016 	QUIET
 17/11  -  18:19:19.019 	QUIET
 17/11  -  18:19:22.022 	QUIET
 17/11  -  18:19:25.025 	QUIET
 17/11  -  18:19:28.028 	NORMAL
